judge,cards,strikes_per_takedown,ci_low,ci_high,vs_league,above_league,below_league
Derek Cleary,539,4.26,2.02,6.46,2.58,True,False
Chris Lee,467,1.99,-0.02,4.64,1.21,False,False
Eric Colon,353,1.84,-0.31,4.29,1.12,False,False
Adalaide Byrd,153,1.83,-2.45,5.87,1.11,False,False
Ben Cartlidge,220,1.83,-1.19,4.89,1.11,False,False
Mike Bell,505,1.48,-0.5,3.5,0.9,False,False
Sal D'Amato,824,0.94,-0.52,2.58,0.57,False,False
Ron McCarthy,259,0.31,-2.52,3.63,0.19,False,False
Junichiro Kamijo,371,0.04,-2.23,2.65,0.02,False,False
Clemens Werner,140,-0.06,-3.08,3.06,-0.04,False,False
David Lethaby,184,-1.06,-4.43,2.11,-0.64,False,False
Dave Tirelli,129,-1.25,-8.09,6.48,-0.76,False,False
Tony Weeks,190,-1.62,-5.1,0.81,-0.98,False,True
