DATE,EVENT,BOUT,judge,s1,s2,y,sig_diff,td_diff,ctrl_diff,kd_diff
2026-08-29,UFC Fight Night: Nurmagomedov vs. Song,Alex Perez vs. Sumudaerji,Ben Cartlidge,28,29,0,-31,4,7.1000000000000005,0.0
2026-08-29,UFC Fight Night: Nurmagomedov vs. Song,Alex Perez vs. Sumudaerji,Vito Paolillo,28,29,0,-31,4,7.1000000000000005,0.0
2026-08-29,UFC Fight Night: Nurmagomedov vs. Song,Alex Perez vs. Sumudaerji,Clemens Werner,28,29,0,-31,4,7.1000000000000005,0.0
2026-08-29,UFC Fight Night: Nurmagomedov vs. Song,Jack Jenkins vs. Sean Woodson,Vito Paolillo,28,29,0,-15,0,3.5999999999999996,0.0
2026-08-29,UFC Fight Night: Nurmagomedov vs. Song,Jack Jenkins vs. Sean Woodson,Clemens Werner,29,28,1,-15,0,3.5999999999999996,0.0
2026-08-29,UFC Fight Night: Nurmagomedov vs. Song,Jack Jenkins vs. Sean Woodson,Cezary Wojciechowski,28,29,0,-15,0,3.5999999999999996,0.0
2026-08-29,UFC Fight Night: Nurmagomedov vs. Song,Ding Meng vs. Cam Nelson,Paul Barton,28,29,0,-2,-4,-5.3999999999999995,0.0
2026-08-29,UFC Fight Night: Nurmagomedov vs. Song,Ding Meng vs. Cam Nelson,Ben Cartlidge,28,29,0,-2,-4,-5.3999999999999995,0.0
2026-08-29,UFC Fight Night: Nurmagomedov vs. Song,Ding Meng vs. Cam Nelson,Clemens Werner,28,29,0,-2,-4,-5.3999999999999995,0.0
2026-08-22,UFC Fight Night: Hernandez vs. Rodrigues,Anthony Hernandez vs. Gregory Rodrigues,Derek Cleary,47,48,0,-84,3,8.0,-3.0
2026-08-22,UFC Fight Night: Hernandez vs. Rodrigues,Anthony Hernandez vs. Gregory Rodrigues,Chris Leben,46,49,0,-84,3,8.0,-3.0
2026-08-22,UFC Fight Night: Hernandez vs. Rodrigues,Anthony Hernandez vs. Gregory Rodrigues,Ron McCarthy,47,48,0,-84,3,8.0,-3.0
2026-08-22,UFC Fight Night: Hernandez vs. Rodrigues,Serghei Spivac vs. Vitor Petrino,Derek Cleary,27,30,0,-41,-4,-5.750000000000001,0.0
2026-08-22,UFC Fight Night: Hernandez vs. Rodrigues,Serghei Spivac vs. Vitor Petrino,Ron McCarthy,27,30,0,-41,-4,-5.750000000000001,0.0
2026-08-22,UFC Fight Night: Hernandez vs. Rodrigues,Serghei Spivac vs. Vitor Petrino,Chris Crail,27,30,0,-41,-4,-5.750000000000001,0.0
2026-08-22,UFC Fight Night: Hernandez vs. Rodrigues,Gauge Young vs. Stan Dorsainvil,Daniel Mobley,28,29,0,14,1,1.166666666666667,0.0
2026-08-22,UFC Fight Night: Hernandez vs. Rodrigues,Gauge Young vs. Stan Dorsainvil,Ron McCarthy,28,29,0,14,1,1.166666666666667,0.0
2026-08-22,UFC Fight Night: Hernandez vs. Rodrigues,Gauge Young vs. Stan Dorsainvil,Brian Tyler,28,29,0,14,1,1.166666666666667,0.0
2026-08-15,UFC 330: Makhachev vs. Machado Garry,Islam Makhachev vs. Ian Machado Garry,Sal D'Amato,49,46,1,-7,7,11.933333333333334,1.0
2026-08-15,UFC 330: Makhachev vs. Machado Garry,Islam Makhachev vs. Ian Machado Garry,Mike Bell,49,46,1,-7,7,11.933333333333334,1.0
2026-08-15,UFC 330: Makhachev vs. Machado Garry,Islam Makhachev vs. Ian Machado Garry,Eric Colon,48,47,1,-7,7,11.933333333333334,1.0
2026-08-15,UFC 330: Makhachev vs. Machado Garry,Mackenzie Dern vs. Gillian Robertson,Sal D'Amato,49,46,1,16,3,4.0166666666666675,0.0
2026-08-15,UFC 330: Makhachev vs. Machado Garry,Mackenzie Dern vs. Gillian Robertson,Chris Bolinski,49,46,1,16,3,4.0166666666666675,0.0
2026-08-15,UFC 330: Makhachev vs. Machado Garry,Mackenzie Dern vs. Gillian Robertson,Rick Winter,48,47,1,16,3,4.0166666666666675,0.0
2026-08-15,UFC 330: Makhachev vs. Machado Garry,Chidi Njokuani vs. Joel Alvarez,Brent Colflesh,30,27,1,81,0,-0.23333333333333334,0.0
2026-08-15,UFC 330: Makhachev vs. Machado Garry,Chidi Njokuani vs. Joel Alvarez,Eric Colon,30,27,1,81,0,-0.23333333333333334,0.0
2026-08-15,UFC 330: Makhachev vs. Machado Garry,Chidi Njokuani vs. Joel Alvarez,David Braslow,29,28,1,81,0,-0.23333333333333334,0.0
2026-08-15,UFC 330: Makhachev vs. Machado Garry,Vicente Luque vs. Tresean Gore,Brent Colflesh,27,30,0,-19,0,-3.0166666666666666,0.0
2026-08-15,UFC 330: Makhachev vs. Machado Garry,Vicente Luque vs. Tresean Gore,Chris Bolinski,27,30,0,-19,0,-3.0166666666666666,0.0
